"","label","text","kelas","sentiment"
"1",5,"looks ok not like so durable will hv to use a while to recommend others of its worth","1","Positif"
"2",5,"tried the current can be very powerful depending on the setting i dont dare to go higher but if go higher sure muscle will become sore and can see the effect faster","1","Positif"
"3",5,"item received after a week looks smaller than expected cant wait to try","1","Positif"
"4",5,"thanks works as describe no complaints not really expecting any life changing results but thanks","1","Positif"
"5",5,"fast delivery considering from overseas and only tried once not sure about the results yet","1","Positif"
"6",5,"fast delivery good service","1","Positif"
"7",5,"got my order and it came well packaged have yet to try but looks good so far thanks","1","Positif"
"8",5,"items received in a nice box have not used it yet hopefully it works","1","Positif"
"9",5,"received in good condition tried so far so good not that bad","1","Positif"
"10",1,"item doesnt work    asked me to send a refund  show a non working machine and deem not enough evidence    dont waste time buying ","0","Negatif"
"11",5,"fast great","1","Positif"
"12",5,"ive tried it and it works as advertised","1","Positif"
"13",5,"hub uses it muscle growth on the upper arm","1","Positif"
"14",5,"well received fast delivery and yet to replace the old pads hope it works will update again once tried","1","Positif"
"15",5,"product received packaging damage but the unit are working well satisfied with the purchased thank you","1","Positif"
"16",5,"good","1","Positif"
"17",5,"box was a little beat up and had a smell but overall nicely packed came w a guide manual too","1","Positif"
"18",4,"fast delivery however the product casing was slightly dented","1","Positif"
"19",5,"fast delivery prompt response the material is good exactly like the photo","1","Positif"
"20",5,"product received was exactly the the same as photos impressed with the quality as well texture isnt sticky as with some rubber products definitely a good buy","1","Positif"
"21",5,"the bands were individually wrapped and came with a waterprood bag and guide pamplet as well","1","Positif"
"22",5,"can really feel it treating it as a massage device cant help you slim down without excercise the chip can be better improved","1","Positif"
"23",5,"product is okay havent tried but hope its ok","1","Positif"
"24",5,"great deal and delivery is fast  response from seller is fast as well will recommend to other buyers","1","Positif"
"25",5,"was given a replacement pack because the one i had before was faulty thank u","1","Positif"
"26",5,"received in good condition  will be using soon to see if it works well","1","Positif"
"27",5,"received well packaged","1","Positif"
"28",5,"good and fast delivery","1","Positif"
"29",5,"have not yet tried box was silght damaged but the rest is still in tect so hopefully it works and thanks for the welcome instruction menual","1","Positif"
"30",5,"no bad cheap  good recomended","1","Positif"
"31",5,"just received havent try","1","Positif"
"32",5,"nice product love it","1","Positif"
"33",5,"received fast nice","1","Positif"
"34",5,"fast delivery everything is operational hopefully it works","1","Positif"
"35",5,"well received","1","Positif"
"36",5,"looks good  but need to try out to see if work","1","Positif"
